autobotdescmgr.1	Combat EXP Bonus +{0}%
etc.ruin_discoverer	 {1}, which was just discovered by {0}
etc.skill_training_string	Novice
interface_buffer.1	{0} Recovery Speed {1}%
interface_buffer.2	{0} Recovery: {2} points every {1} sec.
interface_buffer.3	{0:param} +{1:value}
interface_buffer.4	{0:param} -{1:value}
interface_character.1	You cannot Continent Warp yet.
interface_character.2	Port Cobh
interface_character.3	Visit Belvast first by taking a ship from Port Cobh.
interface_character.4	Cannot continent warp.
interface_character.5	You cannot Continent Warp yet.
interface_character.6	You cannot teleport to a different continent while participating in a Capture the Flag event.
interface_character.7	You cannot teleport to a different continent while participating in a Jousting Tournament.
interface_character.8	You cannot teleport to a different continent at this time.
interface_character.9	You cannot teleport to a different continent from a Homestead.
interface_character.10	You cannot move to another continent from the Dressing Room.
interface_character.11	Ears
interface_character.12	Eyes
interface_character.13	Mouth
interface_character.14	 -type items cannot be equipped together.
interface_character.15	 that makes you completely unique! 
interface_character.16	Probably not a good idea to dress like this.
interface_character.17	You cannot move to another continent from this location.
interface_character.18	You cannot do that right now.\nContinent Warp is available after the quest [Fomor Threat].
interface_characteretc.1	You can't save this location.
interface_characteretc.2	You cannot save during PvP.
interface_characteretc.3	You cannot save while mounted.
interface_characteretc.4	You cannot save while jousting.
interface_characteretc.5	You cannot save during a fashion contest.
interface_characteretc.6	You cannot teleport while mounted.
interface_characteretc.7	You cannot teleport while in combat.
interface_characteretc.8	You cannot teleport while riding a Raft/Hot-Air Balloon/Boat.
interface_characteretc.9	You cannot teleport while jousting.
interface_characteretc.10	You cannot teleport at this time.
interface_characteretc.11	You can't save this location.
interface_characteretc.12	You cannot watch an episode with this character.
interface_characteretc.13	You cannot watch an episode from this location.
interface_characteretc.14	You cannot watch an episode while unconscious.
interface_characteretc.15	You cannot watch an episode while riding.
interface_characteretc.16	You cannot watch an episode during a Jousting Tournament.
interface_characteretc.17	You cannot watch an episode during a fashion contest.
interface_characteretc.18	You cannot watch an episode while trading.
interface_characteretc.19	You cannot watch an episode while riding a Raft/Hot-Air Balloon/Boat.
interface_characteretc.20	You cannot watch an episode during PVP.
interface_characteretc.21	You can't move to that area.
interface_characteretc.22	You can't register in this region.
interface_characteretc.23	You can't warp while engaged in commerce.
interface_characteretc.24	You cannot watch while engaged in a pursuit.
interface_condition.1	You cannot do anything while your hands are full.\nPlease change equipment and try again.
interface_dungeonguide.1	Attempt failed.
interface_dungeonguide.2	Attempt failed.\nPlease double-check the requirements to enter.
interface_dungeonguide.3	Characters that are still doing the tutorial are not eligible.
interface_echostone.1	Strength
interface_echostone.2	Intelligence
interface_echostone.3	Dexterity
interface_echostone.4	Will
interface_echostone.5	HP, Mana, Stamina
interface_echostone.6	Strange Item
interface_echostone.7	Can only be used when difficulty is {0} or higher.
interface_event.1	You cannot use this item because you do not possess the required Technique.
interface_event.2	The paper flip event is not in progress.
interface_event.3	A match is already in progress.
interface_event.4	You can't have a match in this region.
interface_event.5	You can't do this while incapacitated from battle.
interface_event.6	You can't do this while in PvP.
interface_event.7	You can't do this while in pet PvP.
interface_event.8	You can't do this while mounted.
interface_event.9	You can't do this on skis.
interface_event.10	You can't do this during a fashion show.
interface_event.11	You can't do this during a water balloon fight.
interface_event.12	You can't do this in an event hall.
interface_event.13	A Rock Paper Scissors match is already in progress.
interface_event.14	You can't do this during battle.
interface_event.15	You can't do this while in PvP.
interface_event.16	You can't do this while using a skill.
interface_event.17	You can't do this during a Jousting Tournament.
interface_event.18	You can't do this while sitting in a chair.
interface_focuslisten.1	You can block up to 50 people.
interface_fynnpetcomponent.1	You can't use this skill while you're unconscious.
interface_fynnpetcomponent.2	Cannot be used on a Homestead.
interface_houseform.1	Street {0} Shop No. {1}
interface_inventory.1	A portion of the Mana connected to the wand has disappeared.
interface_inventory.2	Although the durability of the wand reached 0,\n{0} prevented the Mana on the wand from evaporating.
interface_inventory.3	Although the durability of the wand reached 0,\n{0} partially prevented the Mana on the wand from evaporating.
interface_inventory.4	As the durability of the wand reached 0,\na portion of Mana on the wand has evaporated!!
interface_inventory.5	As the durability of the wand reached 0,\nall of the Mana on the wand have evaporated!!
interface_inventory.6	{0} prevented Mana from evaporating.
interface_inventory.7	{0} partially prevented Mana from evaporating.
interface_inventory.8	A scented candle is already being burned at this campfire, so you can't burn another one.
interface_inventory.9	Campfire Skill Rank too low. (Current Rank: {0})
interface_inventory.10	You can't burn that scented candle because your Campfire Skill Rank isn't high enough.
interface_inventory.11	You don't have the Gold to pick up.
interface_inventory.12	You cannot pick up Gold right now as you are already holding an item.
interface_inventory.13	You don't have the Gold to pick up.
interface_item.1	Holy
interface_item.2	Empty Music Scores cannot be included.
interface_item.3	Music Scores with no uses left cannot be included.
interface_item.4	 (Not Activated)
interface_personalrankingmgr.1	Girgashiy
interface_personalshopcustomer.1	Armor
interface_personalshopcustomer.2	Weapons
interface_personalshopcustomer.3	Accessories
interface_personalshopcustomer.4	Enchants
interface_personalshopcustomer.5	Potions/Food
interface_personalshopcustomer.6	Books
interface_personalshopcustomer.7	Misc
interface_personalshopcustomer.8	All
interface_personalshopcustomer.9	None
interface_personalshopcustomer.10	Human
interface_personalshopcustomer.11	Human (M)
interface_personalshopcustomer.12	Human (F)
interface_personalshopcustomer.13	Elf
interface_personalshopcustomer.14	Elf (M)
interface_personalshopcustomer.15	Elf (F)
interface_personalshopcustomer.16	Giant
interface_personalshopcustomer.17	Giant (M)
interface_personalshopcustomer.18	Giant (F)
interface_personalshopcustomer.19	All
interface_personalshopcustomer.20	None
interface_petmgr.1	You won't have any swallowing restrictions if you have the Dev Cat title.
interface_petmgr.2	You can't swallow this monster.
interface_petmgr.3	I don't think you can swallow this monster.
interface_petmgr.4	You can't swallow this monster because it still has a lot of HP.
interface_petmgr.5	You can't swallow this monster because it is too strong.
interface_prop.1	 {1}, dispatched by {0}
interface_prop.2	 {1}, opened by {0}
interface_prop.3	{1}, opened by {0}
interface_prop.4	 {1}, built by {0}
interface_prop.5	Current Party Members : {0}
interface_prop.6	Red Team Party Members : {0}
interface_prop.7	Blue Team Party Members : {0}
interface_quest.1	(Today's mission)
interface_quest.2	(Today's mission)
interface_quest.3	 (PC방 오늘의 미션)
interface_quest.4	 (PC방 오늘의 미션)
interface_quest.5	(Today's VIP Mission)
interface_quest.6	(Today's VIP Mission)
interface_quest.7	Fledgling
interface_quest.8	Naive
interface_quest.9	Senior
interface_quest.10	Expert
interface_quest.11	Wise
interface_quest.12	Master
interface_quest.13	Fledgling
interface_quest.14	Easy
interface_quest.15	Normal
interface_quest.16	Hard
interface_quest.17	Very Hard
interface_quest.18	Master
interface_quest.19	 (Renown Bonus)
interface_quest.20	 (Premium Daily Shadow Mission)
interface_quest.21	 (Premium Daily Shadow Mission)
interface_quest.22	 (Special Daily Shadow Mission)
interface_quest.23	 (Special Daily Shadow Mission)
interface_quest.24	(Sky Blue Prism Bonus)
interface_quest.25	(Sky Blue Prism Bonus)
interface_quest.26	(Growth Support Charm Bonus)
interface_quest.27	(Growth Support Charm Bonus)
interface_rockpaperscissors.1	You can't play Rock Paper Scissors without any Match Tickets.
interface_rockpaperscissors.2	The opponent does not have any Match Tickets.
interface_rockpaperscissors.3	You moved to a different place in the middle of a Rock Paper Scissors match. Match cancelled.
interface_rockpaperscissors.4	Your opponent moved to a different place in the middle of a Rock Paper Scissors match. Match cancelled.
interface_rockpaperscissors.5	You have become incapacitated. The Rock Paper Scissors Match has been canceled.
interface_rockpaperscissors.6	Your opponent has become incapacitated. The Rock Paper Scissors Match has been canceled.
interface_rockpaperscissors.7	You can't play Rock Paper Scissors at this time.
interface_rockpaperscissors.8	Your opponent can't play Rock Paper Scissors at this time.
interface_servicemgr.1	Inventory Plus Kit
interface_servicemgr.2	Mabinogi Premium Service
interface_servicemgr.3	Mabinogi VIP Service
interface_servicemgr.4	VIP 
interface_shapeshift.1	You must be equipped with a Dream Catcher in order to transform.
interface_shapeshift.2	You cannot transform now. Try again in {0} seconds.
interface_shapeshift.3	You must cancel your current transformation in order to transform into a monster.
interface_shapeshift.4	You cannot transform while you are on a mount.
interface_shapeshift.5	This cannot be done while transformed.
interface_shapeshift.6	You cannot transform while using an umbrella.
interface_shapeshift.7	You cannot transform while using a fishing chair.
interface_shapeshift.8	You cannot transform while placing a turret.
interface_shapeshift.9	You cannot transform while using Control Marionette.
interface_shapeshift.10	You cannot transform in this region.
interface_shapeshift.11	You cannot transform during a fashion contest.
interface_shapeshift.12	Your Transformation Mastery rank is too low.
interface_shapeshift.13	You cannot transform with wings equipped.
interface_shapeshift.14	You cannot transform while using a Sunbed.
interface_shapeshift.15	You cannot transform during an outfit action.
interface_shapeshift.16	Equip an outfit with the corresponding Outfit Action 2 skill to use this.
interface_shapeshift.17	You cannot transform into two things.
interface_shapeshift.18	You are currently unable to transform.
interface_shapeshift.19	You cannot transform at this time.
interface_shapeshift.20	You cannot transform while you are walking a pet.
interface_shapeshift.21	You cannot transform while in a forced transformation.
interface_skilldescmgr.1	Skill [{0}] Level[{1}] - invalid promotion count
interface_skilldescmgr.2	Skill [{0}] Level[{1}] - invalid promotion exp
interface_skilldescmgr.3	\nThe skill data has an error.\nYou need the 'necessary_crystal' information.\nSkill Name: {0}, Skill Level: {1}
interface_skilldescmgr.4	\nThe skill data has an error.\nYou need the 'alchemy_elemental_ratio' information.\nSkill Name: {0}, Skill Level: {1}
interface_skilldescmgr.5	\nThe skill data has an error.\nYou need the 'alchemy_elemental_point' information.\nSkill Name: {0}, Skill Level: {1}
interface_skilldescmgr.6	HP {0}
interface_skilldescmgr.7	MP {0}
interface_skilldescmgr.8	Stamina {0}
interface_skilldescmgr.9	STR {0}
interface_skilldescmgr.10	INT {0}
interface_skilldescmgr.11	DEX {0}
interface_skilldescmgr.12	Will {0}
interface_skilldescmgr.13	Luck {0}
interface_skillhandler.1	You cannot use stage 3 Combo skills while wearing heavy armor.
interface_skillhandler.2	Your magic or alchemy reacted to leftover energy from Respite!\nHP, MP, and Stamina have been reduced.
interface_skillhandler.3	You cannot use this skill right now. Try again in {0} seconds.
interface_skillhandler.4	You need a {1} to use {0}.
interface_skillhandler.5	You need a {1} to use {0}.
interface_skillhandler.6	You can't use {0} with a 0 durability weapon.
interface_skillhandler.7	무기의 사용기간이 지나서 {0}{을} 사용할 수 없는 것 같다.
interface_skillhandler.8	You can't use this here.
interface_skillhandler.9	지금은 스킬을 사용할 수 없습니다.\n게임에 접속 중인 상태로, {0} 후에 다시 시도하세요.
interface_skillhandler.10	You can't use that Technique now. Please try again in {0} sec.
interface_skillhandlerparam.1	You don't have enough Dorcha!
interface_skillmgr.1	All the attributes are charged.
interface_skillmgretc.1	Empty both of your hands in order to craft.
interface_skillmgretc.2	The following item must be equipped in your hands in order to craft.\n- {0}
interface_skillmgruse.1	You are too far away to control the puppet.\nControl Marionette disabled.
interface_skillmgruse.2	You can't use {0} with a 0 durability weapon.
interface_soulmate.1	You can only send the request on Doki Doki Island.
interface_soulmate.2	You're already someone else's soulmate!
interface_soulmate.3	Your love interest is already someone else's soulmate.
interface_specialization.1	Requirements not met.
interface_specialization.2	This Technique has not been activated.
interface_standardapi.1	일반
interface_standardapi.2	브론즈
interface_standardapi.3	실버
interface_standardapi.4	골드
interface_standardapi.5	플래티넘
interface_standardapi_gamemonth.1	INCREASE IN CRITICAL HIT RATE.\tINCREASE IN LUCKY FINISH RATE.\tINCREASE IN SUCCESS RATE FOR INSTRUMENT PLAYING.\tINCREASE IN SUCCESS RATE FOR MAGIC MUSIC.\tINCREASE IN TAMING RATE USING MAGIC MUSIC.
interface_standardapi_gamemonth.2	INCREASE IN SUCCESS RATE FOR PRODUCTION SKILLS.\tINCREASE IN RANK-UP BONUS FOR LIFE SKILLS.\tINCREASE IN QUALITY OF OUTPUT FOR PRODUCTIONS.
interface_standardapi_gamemonth.3	DUNGEON MAPS CHANGE EVEN IF THE SAME ITEM IS DROPPED.\tINCREASE IN DUNGEON ITEM DROP RATE.\tINCREASE IN RANK-UP BONUS FOR COMBAT SKILLS.
interface_standardapi_gamemonth.4	INCREASE IN ITEM DROP RATE FROM ANIMALS AND NATURE.\tDECREASE IN PRICES FOR ITEMS IN SHOPS.\tDECREASE IN BANK TRANSACTION FEES.\tINCREASE IN EXP EARNED FOR COMPLETE MASTERY OF THE SKILL.
interface_standardapi_gamemonth.5	INCREASE IN SUCCESS RATE FOR ENCHANTS.\tINCREASE IN RANK-UP BONUS FOR MAGIC SKILLS.\tINCREASE IN PROFICIENCY FOR EQUIPMENTS.
interface_standardapi_gamemonth.6	DECREASE IN PENALTIES WHEN KNOCKED UNCONSCIOUS.\tALL POTIONS BECOME MORE POTENT.\tINCREASE IN REWARDS FOR COMPLETING PART-TIME JOBS.
interface_standardapi_gamemonth.7	As you age and grow, you will obtain AP.\tThe food's basic effects will increase over time.\tThe L-Rod's effects will increase over time.\tYou will be able to even sketch monsters that move slightly.
interface_standardapi_gamemonth.8	INCREASE IN CRITICAL HIT RATE.\nINCREASE IN LUCKY FINISH RATE.\nINCREASE IN SUCCESS RATE FOR INSTRUMENT PLAYING.\nINCREASE IN SUCCESS RATE FOR MAGIC MUSIC.\nINCREASE IN TAMING RATE USING MAGIC MUSIC.
interface_standardapi_gamemonth.9	INCREASE IN SUCCESS RATE FOR PRODUCTION SKILLS.\nINCREASE IN RANK-UP BONUS FOR LIFE SKILLS.\nINCREASE IN QUALITY OF OUTPUT FOR PRODUCTIONS.
interface_standardapi_gamemonth.10	DUNGEON MAPS CHANGE EVEN IF THE SAME ITEM IS DROPPED.\nINCREASE IN DUNGEON ITEM DROP RATE.\nINCREASE IN RANK-UP BONUS FOR COMBAT SKILLS.
interface_standardapi_gamemonth.11	INCREASE IN ITEM DROP RATE FROM ANIMALS AND NATURE.\nDECREASE IN PRICES FOR ITEMS IN SHOPS.\nDECREASE IN BANK TRANSACTION FEES.\nINCREASE IN EXP EARNED FOR COMPLETE MASTERY OF THE SKILL.
interface_standardapi_gamemonth.12	INCREASE IN SUCCESS RATE FOR ENCHANTS.\nINCREASE IN RANK-UP BONUS FOR MAGIC SKILLS.\nINCREASE IN PROFICIENCY FOR EQUIPMENTS.
interface_standardapi_gamemonth.13	DECREASE IN PENALTIES WHEN KNOCKED UNCONSCIOUS.\nALL POTIONS BECOME MORE POTENT.\nINCREASE IN REWARDS FOR COMPLETING PART-TIME JOBS.
interface_standardapi_gamemonth.14	As you age and grow, you will obtain AP.\tThe food's basic effects will increase over time.\tThe L-Rod's effects will increase over time.\tYou will be able to even sketch monsters that move slightly.
interface_standardapi_gamemonth.15	CHARACTER AGES ONE YEAR.\tINCREASE IN FOOD EFFECTS.
interface_standardapi_gamemonth.16	CHARACTER AGES ONE YEAR.\nINCREASE IN FOOD EFFECTS.
interface_standardapi_gamemonth.17	in {0} day(s), {1} hr, {2} min, and {3} sec
interface_standardapi_gamemonth.18	in {0} day(s), {1} hr, and {2} sec
interface_standardapi_gamemonth.19	in {0} day(s), {1} min, and {2} sec
interface_standardapi_gamemonth.20	in {0} day(s) and {1} sec
interface_standardapi_gamemonth.21	in {0} hr, {1} min, and {2} sec
interface_standardapi_gamemonth.22	in {0} hr and {1} sec
interface_standardapi_gamemonth.23	{0} min, {1} sec 
interface_standardapi_gamemonth.24	in {0} sec
interface_standardapi_gamemonth.25	{0} Day(s) 
interface_standardapi_gamemonth.26	{0} Hour(s) 
interface_standardapi_gamemonth.27	{0} min 
interface_standardapi_gamemonth.28	{0} sec
interface_standardapi_gamemonth.29	Less than 1 Minute
interface_standardapi_util.1	You cannot use this right now.
interface_standardapi_util.2	Characters cannot do that while in the tutorial.\n(Available after first Rebirth)
interface_standardapi_util.3	You cannot use this when your character is below Lv. 20.
interface_standardapi_util.4	You cannot use this while mounted.
interface_standardapi_util.5	You cannot use this while in combat.
interface_standardapi_util.6	You cannot use this while dead.
interface_standardapi_util.7	You cannot use this while trading.
interface_standardapi_util.8	You cannot use this while in PvP.
interface_standardapi_util.9	You cannot use this while using a skill.
interface_standardapi_util.10	You cannot use this while flying.
interface_standardapi_util.11	You cannot use this while jousting.
interface_standardapi_util.12	You cannot use this while in a Fashion Show
interface_standardapi_util.13	You cannot use this while transformed.
interface_standardapi_util.14	You cannot use this while you are a demigod.
interface_standardapi_util.15	You cannot use this while a pet or partner is summoned.
interface_standardapi_util.16	You cannot use this here.
interface_standardapi_util.17	Pet names must be 3-12 characters long.
interface_standardapi_util.18	One-handed Sword
interface_standardapi_util.19	One-handed Blunt Weapon
interface_standardapi_util.20	Hatchet
interface_standardapi_util.21	Two-handed Sword
interface_standardapi_util.22	Two-handed Blunt Weapon
interface_standardapi_util.23	Two-handed Axe
interface_standardapi_util.24	Lance
interface_standardapi_util.25	Atlatl
interface_standardapi_util.26	Bow
interface_standardapi_util.27	Crossbow
interface_standardapi_util.28	Wand
interface_standardapi_util.29	Staff
interface_standardapi_util.30	Cylinder
interface_standardapi_util.31	Knuckle
interface_standardapi_util.32	Control Bar
interface_standardapi_util.33	Shuriken
interface_standardapi_util.34	Dual Gun
interface_standardapi_util.35	Chain Blade
interface_standardapi_util.36	Tower Cylinder
interface_standardapi_util.37	\n<color=2><outlinecolor=3>(거래 및 경매장 이용이 가능해 질 때 까지 {0} 남았습니다.)</outlinecolor></color>
interface_standardapi_util.39	{0} cannot use all forms of trade-related systems as per the law in their country.
itemenhancedescmgr.1	Upgrading to {0}, type {1} level {2}.\n
itemenhancedescmgr.2	Converting {0}, type {1} level {2} to type {3} level {4}.\n
itemenhancedescmgr.3	Upgrading to {0} level {1}.\n
itemoptiondeschelper.1	-250 CP
itemoptiondeschelper.2	Magic Attack
itemoptiondeschelper.3	Frozen Blast Duration
itemoptiondeschelper.4	Frozen Blast Range
itemoptiondeschelper.5	Barrier Spikes Durability
itemoptiondeschelper.6	Stamina Usage
itemoptiondeschelper.7	Piercing Level
itemoptiondeschelper.8	Scale Ratio
itemoptiondeschelper.9	Music Buff Effect
itemoptiondeschelper.10	Music Buff Duration
itemoptiondeschelper.11	Min Damage
itemoptiondeschelper.12	Max Damage
itemoptiondeschelper.13	Exploration EXP
itemoptiondeschelper.14	Commerce Inventory
itemoptiondeschelper.15	Commerce Weight
itemoptiondeschelper.16	Party Combat EXP
itemoptiondeschelper.17	Pet Combat EXP
itemoptiondeschelper.18	The effect duration for all characters who partake of the Catering Dish laid down by the player. 
itemoptiondeschelper.19	Max stat cap for item crafted through Smithing
itemoptiondeschelper.20	Max stat cap for item crafted through Carpentry
itemoptiondeschelper.21	Purchase Discount Rate
itemoptiondeschelper.22	Merchant Rating Increase Rate
itemoptiondeschelper.23	Shop Price
itemoptiondeschelper.24	Time Warp Cooldown Ignore Count
itemoptiondeschelper.25	Defense upon Shock Dampening activation
itemoptiondeschelper.26	Magic Defense upon Shock Dampening activation
itemoptiondeschelper.27	Combo cooldown reset upon landing a critical hit
itemoptiondeschelper.28	Combo Damage
itemoptiondeschelper.29	Marionette Magic Protection
itemoptiondeschelper.30	Fynn Sync Great Success Rate
itemoptiondeschelper.31	Number of objects that can be used in Glyph Design
itemoptiondeschelper.32	Use count of Glyph Imprint
itemoptiondeschelper.33	Tri-Element Mastery Damage
itemoptiondeschelper.34	Adjusts Aim Rate
